id,codigo,nombre,departamento,municipio,distrito,direccion,latitud,longitud,telefonos,programa,modernizacion,fase,control,fila_origen_sheet,sincronizado_en,creado_en
570cabd8-90bd-47bd-b663-b9701029e12a,60082,CENTRO ESCOLAR CANTÓN TEXISPULCO,AHUACHAPÁN,AHUACHAPÁN SUR,SAN PEDRO PUXTLA,,,,"{72270341,72270341,72270341}",,f,,f,277,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
40aa0e0d-936b-4b3a-bed9-9e72cb4d5692,72078,CENTRO ESCOLAR CANTÓN AJULUCO,CUSCATLÁN,CUSCATLÁN  SUR,TENANCINGO,,,,"{72512685,72512685,72512685}",,f,,f,1154,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
8e275a76-3159-482a-9c8e-63a9ca2abaeb,72079,CENTRO ESCOLAR CANTÓN COPALCHAN,CUSCATLÁN,CUSCATLÁN  SUR,TENANCINGO,,,,"{72508461,72508461,72508461}",,f,,f,1155,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
8324f132-e8a7-499c-83a4-325ebc102cba,72080,CENTRO ESCOLAR CANTÓN EL PEPETO,CUSCATLÁN,CUSCATLÁN  SUR,TENANCINGO,,,,"{72512679,72512679,72512679}",,f,,f,1156,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
0741d02e-b85d-41b7-b530-b9d90600bf87,76019,"CENTRO ESCOLAR CASERÍO TERRERO NEGRO, CANTÓN CALERA",CABAÑAS,CABAÑAS OESTE,ILOBASCO,,,,"{78566098,78566098}",,f,,f,502,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
bee483eb-4f15-4373-903b-5ec6e64ce97d,76020,"CENTRO ESCOLAR CASERÍO LAS VEGAS, CANTÓN CALERA",CABAÑAS,CABAÑAS OESTE,ILOBASCO,,,,"{72392839,72392839,72392839}",,f,,f,503,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
4a2c668e-51da-44e2-88ed-83ad5bc92b3b,76021,"CENTRO ESCOLAR CASERÍO HELEN, CANTÓN SITIO VIEJO",CABAÑAS,CABAÑAS OESTE,ILOBASCO,,,,"{78408059,78408059,78408059}",,f,,f,504,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
1601a226-e98d-462d-b2ea-f6a763a3e563,10923,"CENTRO ESCOLAR CASERIO CONACASTILLO, CANTON EL ROSARIO",CHALATENANGO,CHALATENANGO CENTRO,NUEVA CONCEPCIÓN,,,,"{76018852,76018852,76018852}",,f,,f,636,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
9aa184ac-4f7b-4ba4-afe7-754ff2e2012c,66019,"CENTRO ESCOLAR CASERÍO LA MONTAÑONA, CANTÓN LLANO GRANDE",CHALATENANGO,CHALATENANGO SUR,CONCEPCIÓN QUEZALTEPEQUE,,,,"{72599398,72599398}",,f,,f,860,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
07371a98-ff2f-45b2-bfdc-bb67952fd4e3,86536,"CENTRO ESCOLAR CASERÍO IRIOMA, CANTÓN ROSARIO TABLÓN",CUSCATLÁN,CUSCATLÁN  SUR,TENANCINGO,,,,"{78035421,78035421}",,f,,f,1160,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
259f63ad-fdb6-42a1-8957-2f2545d9868b,10015,CENTRO ESCOLAR PROFESOR RICARDO ARGUETA LINARES,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72265914,72265914,72265914}",,f,,f,13,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
be7c8877-900b-4890-91c9-4082b23504d0,10016,CENTRO ESCOLAR CANTON EL ROBLE,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{78564617,78564617,78564617}",,f,,f,14,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
841f590c-1d98-464e-9945-c2ad4c8eb0cd,10017,CENTRO ESCOLAR CANTON EL JUNQUILLO,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{76075091,76075091,76075091}",,f,,f,15,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
25e74f5c-2816-4be2-a7a7-4d326804a15a,11002,"CENTRO ESCOLAR TEPEYAC, CIUDAD ARCE",LA LIBERTAD,LA LIBERTAD  CENTRO,CIUDAD ARCE,,,,"{72414185,72414185,72414185}",,f,,f,1161,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
17eb449c-f19b-4ec3-b9ed-a92efaa657e4,11003,INSTITUTO NACIONAL DE CIUDAD ARCE,LA LIBERTAD,LA LIBERTAD  CENTRO,CIUDAD ARCE,,,,"{72409825,72409825,72409825}",,f,,f,1162,2026-08-10 09:21:57.898103+00,2026-07-24 22:35:57.939696+00
f5e3bbb5-fffe-4cfc-b5ff-0f919ddd5ca3,10019,CENTRO ESCOLAR CANTON ASHAPUCO,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72265962,74167722}",,f,,f,16,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
fdad3237-8688-4080-838f-7e849cddeeb4,10021,CENTRO ESCOLAR CANTON SUNTECUMAT,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72491827,72491827,72491827}",,f,,f,17,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
963f4e53-67e3-468a-b8fb-d7030e4eee48,10022,CENTRO ESCOLAR CANTÓN LOS MAGUEYES,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72500538,72500538,72500538}",,f,,f,18,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
4d56094c-106e-4708-8b67-40b6a77ef7ad,10023,CENTRO ESCOLAR DOCTOR RENE VIRGILIO CORNEJO GRANADOS,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72502707,78224399,72502707}",,f,,f,19,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
